on x=-36..14,y=-44..6,z=-39..13
on x=-31697..-15731,y=-93320..-61668,z=-11787..13519
on x=-44104..-28837,y=844..9088,z=61935..79170
on x=-78954..-71510,y=-24352..-11767,z=-29704..-16803
on x=55565..76145,y=18489..51947,z=1615..22174
on x=-12292..7876,y=42224..58080,z=62541..78377
on x=-74646..-54408,y=-56248..-30779,z=-54092..-16366
on x=-15743..306,y=-17825..-12713,z=-95168..-71310
on x=58057..77566,y=-18124..8827,z=23428..42980
on x=14021..30869,y=65681..85499,z=-53979..-29157
on x=-23583..2480,y=-25988..-5990,z=66673..90568
on x=4481..21795,y=62187..79203,z=-22287..-6521
on x=-19718..4178,y=76585..81862,z=17076..34887
on x=-87645..-61417,y=-32473..-15207,z=16371..28705
on x=40796..42808,y=-72141..-44134,z=-43504..-16922
on x=-56518..-19705,y=52034..78675,z=-57528..-32841
on x=44563..58001,y=-35599..-25,z=-60591..-44992
on x=-29169..-12649,y=27223..39828,z=-81033..-63264
on x=-50672..-39345,y=-45707..-26979,z=58015..73599
on x=-83442..-67270,y=-13527..9008,z=-32095..-9010
on x=-28388..6355,y=-89510..-66836,z=-17569..-1147
on x=-2498..28272,y=-95569..-69357,z=-23958..-2130
on x=-73580..-40434,y=-10254..12006,z=-61146..-40468
on x=33070..43492,y=-73386..-64517,z=-1555..23658
on x=859..22474,y=61320..65143,z=-59922..-39023
on x=35453..47393,y=-70565..-55069,z=-16769..14834
on x=-59111..-44119,y=-69047..-40057,z=-2197..10951
on x=-17509..16322,y=54116..90310,z=-46567..-19046
on x=77783..92867,y=-444..5600,z=-16602..13188
on x=-19911..-17084,y=-90619..-60340,z=-39014..-8450
on x=2824..19365,y=-83476..-64642,z=15881..41233
on x=-17029..-5105,y=35964..54702,z=58348..81277
on x=31444..58359,y=-76493..-53122,z=-26291..-9882
on x=-16980..7331,y=-57111..-31776,z=-67672..-55343
on x=-39705..-32880,y=9728..30532,z=-80242..-49543
on x=-13923..24780,y=33571..48418,z=56741..85984
on x=34217..58461,y=-68529..-34171,z=-55419..-27813
on x=53984..83932,y=38606..45362,z=-3413..15237
on x=-84604..-53291,y=23727..47497,z=-10951..10902
on x=-92774..-69152,y=-18646..-3278,z=-47251..-15033
on x=-22923..-7505,y=-75717..-55671,z=21296..36608
on x=53450..69933,y=-23992..-9411,z=28078..50457
on x=-11080..1456,y=-56451..-39392,z=56887..65454
on x=-7485..14397,y=-34889..1083,z=74470..96835
on x=-17502..649,y=-70305..-68001,z=30103..45679
on x=-47741..-36017,y=-28426..-7097,z=52043..85590
on x=-46152..-26058,y=9758..31318,z=53655..88282
on x=16085..50165,y=15300..31210,z=-91034..-65015
on x=-64498..-35117,y=29530..52458,z=-55625..-37271
on x=-29345..-10029,y=-88977..-63952,z=5146..35674
on x=43074..58075,y=-74803..-43059,z=24009..38926
on x=-24862..6601,y=-56757..-36021,z=-63502..-52270
on x=-37852..-1206,y=55826..79532,z=-39937..-14352
on x=26956..46938,y=-882..17425,z=-67162..-52349
on x=-60738..-37132,y=-51852..-43943,z=27933..37466
on x=5171..32832,y=41940..54577,z=37784..64522
on x=-51314..-40052,y=-50911..-25448,z=-70966..-52032
on x=-33270..-4088,y=-41196..-28455,z=71961..82231
on x=55078..79741,y=16524..34662,z=-25584..-6097
on x=-16426..1376,y=-28265..-4036,z=59916..76664
on x=-19212..3412,y=65836..94794,z=1024..17334
on x=57777..69984,y=23175..41983,z=-50662..-23852
on x=-52690..-45423,y=20295..32856,z=-61449..-41005
on x=-8174..15650,y=12687..32075,z=54979..82983
on x=-62221..-46322,y=-9670..25981,z=43964..62116
on x=60892..75815,y=-45575..-24175,z=-33814..-5569
on x=-85920..-65362,y=7598..33554,z=-27356..-11756
on x=-76131..-49080,y=-47203..-28984,z=-61769..-28800
on x=-8865..480,y=-53757..-24618,z=52424..75019
on x=57668..70296,y=-28101..2294,z=38724..62470
on x=2179..18340,y=-87755..-55206,z=-40238..-32084
on x=23909..50783,y=67283..75853,z=-2116..23765
on x=-94649..-60014,y=-10249..6513,z=-25564..4334
on x=-83743..-69379,y=-13514..13712,z=-35591..-11388
on x=40434..61148,y=18880..49014,z=41480..54302
on x=56355..82866,y=33471..55658,z=-34435..-20899
on x=-38363..-19182,y=27778..59641,z=47216..63473
on x=-84566..-59914,y=41284..47735,z=3745..26417
on x=7181..28723,y=-6219..28899,z=-91626..-64857
on x=-68564..-43118,y=-60913..-43610,z=-42742..-22509
on x=-71897..-43506,y=16195..53222,z=-49707..-33421
on x=67093..69057,y=-32905..-20101,z=28353..47186
on x=-3026..259,y=46644..74913,z=44199..63857
on x=63539..82103,y=-36149..-10761,z=-44180..-16920
on x=27525..59539,y=-40882..-34004,z=-51882..-36219
on x=27774..40715,y=-19400..-4868,z=-75011..-67177
on x=31642..47749,y=57055..67446,z=-46563..-24132
on x=-65013..-43155,y=-63287..-38573,z=-36395..-10368
on x=-27532..-17032,y=4974..16327,z=-90024..-57962
on x=16834..22059,y=37797..68742,z=44818..57957
on x=39035..55775,y=-38099..-9486,z=61908..78215
on x=62152..87390,y=-49688..-31306,z=-3461..2292
on x=-74086..-50798,y=29039..49864,z=-21294..-15054
on x=-62354..-47502,y=-36286..-19658,z=-70821..-46751
on x=17640..37347,y=50332..64416,z=41160..61163
on x=-34472..-22768,y=55661..73944,z=-11094..23803
on x=3451..23525,y=-56839..-26729,z=58378..79102
on x=24385..36536,y=-45503..-25721,z=60846..77998
on x=-16909..4490,y=-77937..-49828,z=25829..42805
on x=-66826..-43799,y=14393..28990,z=-61598..-43172
on x=40090..72006,y=41348..65080,z=29024..39265
on x=-59194..-36183,y=37421..55033,z=31517..52969
on x=-7854..7554,y=-1072..20095,z=-85542..-64349
on x=-10336..2859,y=55770..86113,z=23173..49628
on x=-51670..-25937,y=-4779..16474,z=-78993..-60356
on x=-60452..-32501,y=-55488..-29642,z=-65398..-36484
on x=43935..63461,y=-50864..-30583,z=-55794..-33073
on x=4737..31699,y=21073..43230,z=58845..78954
on x=541..39665,y=-57614..-34040,z=-83076..-55909
on x=-48137..-30986,y=-39283..-14666,z=-85683..-57389
on x=-26378..-11473,y=-13433..-5054,z=-92192..-60156
on x=-69073..-62114,y=-25339..-16,z=-53569..-24218
on x=-47576..-29191,y=14908..34308,z=52086..82843
on x=-64210..-41911,y=-73098..-53940,z=395..23788
on x=-56511..-40245,y=-79914..-46932,z=5028..29087
on x=55825..81252,y=-27748..-2103,z=-38289..-11743
on x=-76556..-60102,y=-42978..-11006,z=-16286..7643
on x=31387..57179,y=-30816..-14444,z=38991..74580
on x=-23726..10660,y=40811..67613,z=-63243..-42527
on x=-82117..-57031,y=-7395..8452,z=-45274..-32093
on x=6687..21134,y=41916..68880,z=37988..53812
on x=-9439..16407,y=-89427..-52725,z=-50984..-20022
on x=-30643..-314,y=-44441..-27573,z=-87003..-53584
on x=-40247..-35712,y=19955..57489,z=-68991..-47763
on x=-75966..-72349,y=2296..22142,z=-34344..-19778
on x=20601..39373,y=15653..37641,z=-65449..-54633
on x=-62682..-42035,y=-67727..-42067,z=-36779..-32021
on x=-83661..-72348,y=-16988..12588,z=-37543..-8390
on x=-324..28899,y=77325..81947,z=-23932..-3112
on x=-53265..-35500,y=-15406..2015,z=-76600..-49786
on x=61847..76983,y=24067..46524,z=-38213..-10165
on x=-10650..11595,y=-79855..-59606,z=-19779..-8301
on x=54458..71650,y=-71201..-48882,z=-432..30083
on x=-65477..-36842,y=-59374..-48688,z=526..21709
on x=46429..72383,y=6909..31313,z=-65361..-36611
on x=34501..63984,y=43814..70121,z=-1861..20527
on x=57307..77733,y=-32889..-1935,z=27941..54781
on x=-97597..-75325,y=-31022..-5733,z=-11187..18158
on x=-8667..20035,y=-14128..14775,z=61365..83630
on x=26458..60184,y=32203..49400,z=-63588..-48703
on x=-1439..27538,y=-90131..-75366,z=-16129..5089
on x=-43806..-20553,y=-86835..-56548,z=-35775..-27151
on x=-5816..28843,y=-35960..-19852,z=-81060..-68346
on x=-63576..-39350,y=36494..60515,z=-43019..-30629
on x=3315..24080,y=75489..89798,z=-12109..-8166
on x=-5765..10308,y=58206..82811,z=-41927..-32458
on x=44604..60080,y=25768..47314,z=-39880..-29518
on x=11270..36453,y=13854..28987,z=-80818..-64923
on x=-28850..5040,y=18804..36524,z=-85265..-61865
on x=-65446..-58128,y=-53212..-35870,z=14201..26755
on x=59242..77895,y=-33312..-13164,z=-25573..2779
on x=-51072..-21655,y=-772..35107,z=66690..91443
on x=7349..29107,y=14423..45965,z=-73322..-57576
on x=-6588..18290,y=-68002..-44535,z=-67622..-58728
on x=-7008..9024,y=45363..65063,z=42499..61464
off x=-43036..-24706,y=54384..89765,z=-5066..6869
on x=-62665..-47787,y=-31533..-14689,z=-52603..-40239
off x=64549..79765,y=-15589..8866,z=22692..42208
off x=17680..44364,y=55241..77341,z=-15637..7453
on x=-95347..-62531,y=15591..36483,z=-18466..-11651
off x=-54987..-21902,y=-12127..-4552,z=-78846..-58221
on x=54815..87617,y=-31903..-23302,z=4013..18899
off x=-54087..-27167,y=55389..81700,z=1627..16491
off x=-84963..-66633,y=29047..36479,z=-10043..9291
off x=-52122..-23889,y=-21300..-310,z=49767..70553
off x=38643..61693,y=-32812..-11393,z=-80188..-54197
on x=-41733..-18656,y=56494..64127,z=-59385..-40219
off x=4722..15412,y=-32464..-31387,z=-78614..-69189
off x=-8846..22585,y=-53607..-33498,z=57685..67300
on x=50465..82420,y=-51424..-19198,z=25105..48047
on x=-83657..-77011,y=1033..26189,z=-2693..16449
on x=-89008..-69421,y=12348..32059,z=-7640..2975
off x=21873..31846,y=-42031..-32895,z=47527..80562
on x=52505..79296,y=36472..61041,z=-10906..27171
on x=-34763..-24660,y=53387..83766,z=-51678..-29100
off x=-4804..21284,y=28026..59176,z=-82873..-59669
off x=-53727..-40525,y=29408..33741,z=-68260..-43723
off x=56714..79949,y=46344..63698,z=3910..24315
on x=7007..16672,y=1259..31269,z=75435..90024
on x=51175..75769,y=-31710..-12856,z=-62376..-29960
off x=13982..31813,y=16226..27023,z=-91566..-71452
on x=34459..71769,y=-40383..-12357,z=38339..67488
on x=67544..89145,y=-16921..9870,z=-40013..-19117
on x=53933..72469,y=-13330..13636,z=35973..40656
off x=-59821..-41778,y=-41876..-22851,z=-64164..-29842
off x=-35006..-16702,y=61092..75344,z=-27334..-8908
off x=20632..23629,y=-72785..-60444,z=14751..49024
off x=-69806..-51203,y=31029..45112,z=16411..41233
on x=-57076..-28204,y=54636..71455,z=15175..42102
off x=-45564..-22487,y=-679..21049,z=60040..79565
off x=-46177..-33637,y=-41063..-18100,z=53878..76878
off x=-49497..-26759,y=-75868..-43528,z=21106..38496
on x=-92442..-62765,y=25038..47299,z=-19505..-1732
off x=26154..33664,y=-3243..25769,z=67568..91079
on x=47569..65958,y=-58387..-34045,z=-35828..-13111
on x=17480..43310,y=-78706..-56608,z=13389..29740
off x=-39544..-15264,y=-5285..17856,z=71341..91758
off x=-17168..14889,y=-50058..-34562,z=52368..72024
on x=-66418..-51512,y=17966..24141,z=39261..60104
on x=-70243..-53539,y=-55448..-35083,z=27203..52073
off x=-44010..-22971,y=1618..25842,z=-83831..-53097
on x=8590..19331,y=-70119..-51016,z=39995..56666
off x=-87930..-69255,y=-3173..20957,z=-39971..-17842
on x=-24249..-12510,y=-61300..-41801,z=-72633..-45705
on x=-41276..-19436,y=-64389..-33666,z=31958..53770
off x=30887..49239,y=49014..59301,z=47744..65994
off x=-7793..15705,y=-86496..-67344,z=-20427..6876
on x=-34567..-29310,y=35276..62008,z=-64239..-39869
on x=8891..30164,y=-27765..-1518,z=-89942..-63567
off x=8723..37649,y=39239..58219,z=64279..74244
on x=-72645..-42393,y=34487..57106,z=27541..40276
on x=-13349..6546,y=56545..77498,z=28741..44697
off x=47234..68082,y=43317..61495,z=-4074..19399
off x=-79530..-51974,y=-48526..-25898,z=8859..40771
off x=-10702..14162,y=-14302..3577,z=71892..95818
on x=29581..39393,y=-55102..-33307,z=-61064..-53801
off x=-18445..1162,y=-93675..-63658,z=7537..37812
on x=23675..45092,y=-38524..-15948,z=-77442..-47530
off x=5332..22358,y=-25000..-6321,z=70308..89584
off x=56033..63550,y=51460..55596,z=-5129..26255
off x=-42462..-25532,y=-53475..-50662,z=-63435..-33722
off x=9838..19715,y=-50095..-15293,z=68195..72304
on x=34785..57354,y=-7263..22139,z=-67803..-55761
off x=-67844..-41585,y=22069..42312,z=38462..56609
off x=-61100..-44395,y=-78733..-56917,z=7117..22812
on x=20635..40316,y=-81137..-58151,z=-13558..21
on x=49059..71609,y=17208..37274,z=-50379..-38368
off x=53562..76395,y=18484..42276,z=-42680..-31802
off x=-43199..-5418,y=-3844..11786,z=-81671..-76081
on x=63367..78133,y=11610..32716,z=-22550..9164
on x=-6107..11232,y=-20534..-9477,z=-94621..-61957
off x=70610..90075,y=-36441..-23247,z=-16801..-5774
off x=57449..90920,y=-12697..10785,z=25520..40288
off x=-42747..-23816,y=-73763..-70037,z=-32166..-10381
off x=-47544..-29833,y=28646..32143,z=-73800..-48015
on x=-30459..2043,y=25011..54691,z=-80965..-55991
on x=33525..56155,y=-13871..-1882,z=66286..82030
off x=-21742..-17738,y=5170..39520,z=67798..89630
on x=-68905..-54184,y=-39992..-15366,z=-40674..-21079
on x=-50350..-27036,y=-8699..20343,z=58475..72632
off x=-4975..17165,y=-61655..-41918,z=-54713..-33616
on x=-61602..-43273,y=12341..31385,z=33636..57754
off x=26836..46593,y=57273..75240,z=-15378..-1775
off x=54382..87476,y=-40682..-11164,z=-15306..4577
on x=17663..32703,y=-5059..19095,z=-93525..-74748
off x=-38896..-26582,y=28572..53468,z=60590..72973
off x=-66337..-49455,y=-47678..-25401,z=-60174..-25615
off x=-95761..-64452,y=-26279..-4999,z=-7282..4490
off x=60791..97616,y=-975..33479,z=6683..15877
on x=-2930..16590,y=26931..48613,z=72329..83498
on x=-21149..-4781,y=-61312..-31663,z=-79061..-56057
on x=22472..34469,y=-80114..-60239,z=-16013..5059
off x=34767..67565,y=-9456..11276,z=-69127..-54494
off x=21360..55859,y=43167..63457,z=44098..51009
on x=54212..81129,y=5343..14806,z=30499..47213
on x=21516..48894,y=-46243..-35729,z=-71912..-61544
on x=-70456..-51726,y=10560..36080,z=-61687..-31232
on x=-88167..-55950,y=25700..49902,z=-26949..303
off x=64433..80489,y=27605..39736,z=8744..24433
off x=-75529..-56089,y=25485..48359,z=9035..23147
off x=-74344..-53366,y=-27263..-11169,z=-65817..-40522
off x=-73191..-53055,y=33948..47984,z=-26326..7331
off x=-13544..1859,y=72546..83465,z=-8277..6787
off x=-22394..-11730,y=-72312..-63599,z=29886..49371
off x=-8097..27597,y=47312..74184,z=-71594..-53414
on x=-69432..-49447,y=-31002..-19163,z=-32829..-21783
on x=12896..41954,y=-49194..-30855,z=-70760..-52008
off x=-87455..-77568,y=-5522..7051,z=-4918..28264
on x=31675..53487,y=-70208..-40535,z=18461..40058
on x=2859..32075,y=-31712..2727,z=75331..92502
off x=-9106..18256,y=-87400..-72118,z=-13735..1808
on x=-8307..14452,y=52035..82059,z=23981..51470
off x=3143..18435,y=-70947..-48377,z=-66714..-47949
off x=-26831..-21270,y=31356..51057,z=-75094..-47338
on x=-43380..-12726,y=9257..26904,z=-85493..-59964
on x=-39160..-25276,y=50154..69557,z=-29137..-2577
off x=10855..34147,y=-85308..-71933,z=-20941..1744
on x=15471..34960,y=-81362..-51117,z=15975..38243
on x=65176..74417,y=23915..49830,z=-22912..6663
on x=35696..51536,y=44847..63520,z=-67426..-48379
off x=1722..31698,y=35189..48360,z=61635..84145
off x=-54098..-44961,y=-69386..-44884,z=9264..35973
on x=-64240..-47920,y=-57999..-33757,z=10125..21688
off x=24150..32557,y=49230..64360,z=-55267..-43563
on x=-44831..-18052,y=55760..69997,z=11782..22453
off x=8116..36260,y=-32237..-11011,z=68861..86120
on x=-22379..-5139,y=-72256..-54520,z=-51580..-23754
on x=-17839..2199,y=66594..76276,z=27528..48660
off x=-27520..-15807,y=-70880..-43713,z=49425..57298
on x=-21723..-16120,y=-20180..4499,z=-83293..-66651
off x=-77007..-71063,y=15491..28379,z=19518..33634
on x=-14580..-11713,y=31260..62421,z=45743..64937
on x=44861..65484,y=-48609..-26670,z=34570..45901
on x=57650..77454,y=-22384..-6662,z=-26730..-7996
on x=-16013..-4520,y=-22135..-14963,z=-95186..-75590
off x=27876..58082,y=-50902..-37265,z=-64692..-46047
on x=66431..95591,y=-37636..-10499,z=-19507..3540
off x=-22413..-16415,y=-85219..-58106,z=-31267..-2039
on x=-17448..11256,y=-74119..-56662,z=-46578..-32201
on x=-50185..-19606,y=53285..59204,z=-50644..-33797
on x=-61107..-35515,y=-39389..-26764,z=-74906..-49310
on x=12022..23953,y=-92273..-56344,z=-25697..-10611
on x=-30828..6466,y=-44374..-11915,z=-81837..-71734
off x=-85890..-68130,y=25698..52963,z=-30526..-4679
off x=4360..21549,y=-92667..-67813,z=1764..36004
off x=-3043..29699,y=-28008..3566,z=65991..97901
off x=41221..65924,y=37172..71084,z=16788..33430
on x=75258..91694,y=7090..20438,z=-11427..2992
on x=-84556..-64881,y=-6443..13360,z=-32757..-9448
off x=22900..46408,y=47714..78885,z=21754..34364
off x=31032..46847,y=21961..29536,z=-73958..-50499
off x=-61905..-42165,y=-42142..-8948,z=-63133..-59336
off x=-34967..-12907,y=25230..63615,z=-76576..-46642
off x=-62863..-39648,y=-46263..-13307,z=40041..69050
on x=-86061..-75844,y=-27417..-145,z=-26307..-16895
on x=42575..67477,y=-52037..-34285,z=31304..46208
on x=-25564..580,y=50715..78608,z=26367..46104
off x=-97523..-74525,y=-12547..14466,z=1209..26953
on x=-12808..7895,y=-78247..-42762,z=-53308..-45818
off x=-50479..-34151,y=-10930..3082,z=-82445..-57159
off x=-87825..-69153,y=-24489..-18780,z=-16221..888
off x=55216..80008,y=-36241..-32309,z=-35533..-20612
off x=18764..37828,y=-40561..-16945,z=-72645..-46018
on x=-48444..-39304,y=-13937..7259,z=-68200..-55732
on x=-18815..10542,y=58324..92969,z=-38930..-15593
off x=60159..88813,y=28827..35318,z=2976..33843
on x=-22229..-4973,y=53837..73356,z=-59666..-30770
on x=-35955..-19705,y=-67932..-35878,z=42380..64961
on x=48301..78055,y=27529..48551,z=-38921..-14662
on x=69943..73382,y=18919..34680,z=-22897..3128
on x=-83716..-44363,y=-31255..-3126,z=31549..65863
on x=34496..51020,y=-8535..1589,z=-81684..-53173
off x=3904..19646,y=9895..43697,z=-90922..-63963
off x=-78310..-60823,y=-35617..-3013,z=36508..61632
on x=-18432..-7671,y=-25609..-3903,z=-84560..-67595
off x=26857..45480,y=53598..72014,z=2663..10565
off x=-52542..-28790,y=52915..80392,z=-38203..-11246
on x=58351..76861,y=-28780..-20786,z=13951..24044
on x=51691..76300,y=-45873..-20851,z=13365..31504
on x=-55538..-23646,y=-14413..5927,z=-82977..-60655
off x=959..35448,y=-55857..-37385,z=48890..68825
on x=45509..65619,y=-58064..-39653,z=11429..31073
on x=-1325..25217,y=59935..72679,z=32990..51358
on x=-82484..-65939,y=-14231..8877,z=-39483..-18784
off x=-65477..-42782,y=-27972..-7129,z=36771..65650
on x=5919..31067,y=18848..53665,z=50397..71669
off x=-80665..-54450,y=-38640..-5787,z=16049..48556
on x=-1978..22119,y=70612..93925,z=5057..33188
on x=40629..47555,y=-77286..-51484,z=-33235..-11717
off x=-78498..-67783,y=-3449..5766,z=-47605..-22121
on x=1790..19846,y=-23768..3276,z=58925..95422
on x=-2798..18759,y=-72415..-48351,z=32941..53800
on x=-21159..-7529,y=-51950..-25419,z=-77885..-66640
off x=35795..59369,y=-646..21396,z=56769..68633
on x=-12842..130,y=62648..87157,z=-17521..5039
